Unnamed: 0,Question,Answer,processed_description
10,"What is the description of tactic, Persistence according to Mitre Attack framework?","The adversary is trying to maintain their foothold.

Persistence consists of techniques that adversaries use to keep access to systems across restarts, changed credentials, and other interruptions that could cut off their access. Techniques used for persistence include any access, action, or configuration changes that let them maintain their foothold on systems, such as replacing or hijacking legitimate code or adding startup code. 
The adversary is trying to maintain their foothold.Persistence consists of techniques that adversaries use to keep access to systems across restarts, changed credentials, and other interruptions that could cut off their access. Techniques used for persistence include any access, action, or configuration changes that let them maintain their foothold on systems, such as replacing or hijacking legitimate code or adding startup code. 
","the adversary is trying to maintain their foothold

persistence consists of techniques that adversaries use to keep access to systems across restarts changed credentials and other interruptions that could cut off their access techniques used for persistence include any access action or configuration changes that let them maintain their foothold on systems such as replacing or hijacking legitimate code or adding startup code 
the adversary is trying to maintain their footholdpersistence consists of techniques that adversaries use to keep access to systems across restarts changed credentials and other interruptions that could cut off their access techniques used for persistence include any access action or configuration changes that let them maintain their foothold on systems such as replacing or hijacking legitimate code or adding startup code 
"
11,"What is the description of tactic, Privilege Escalation according to Mitre Attack framework?","The adversary is trying to gain higher-level permissions.

Privilege Escalation consists of techniques that adversaries use to gain higher-level permissions on a system or network. Adversaries can often enter and explore a network with unprivileged access but require elevated permissions to follow through on their objectives. Common approaches are to take advantage of system weaknesses, misconfigurations, and vulnerabilities. Examples of elevated access include: 

* SYSTEM/root level
* local administrator
* user account with admin-like access 
* user accounts with access to specific system or perform specific function

These techniques often overlap with Persistence techniques, as OS features that let an adversary persist can execute in an elevated context.  
The adversary is trying to gain higher-level permissions.Privilege Escalation consists of techniques that adversaries use to gain higher-level permissions on a system or network. Adversaries can often enter and explore a network with unprivileged access but require elevated permissions to follow through on their objectives. Common approaches are to take advantage of system weaknesses, misconfigurations, and vulnerabilities. Examples of elevated access include: SYSTEM/root levellocal administratoruser account with admin-like access user accounts with access to specific system or perform specific functionThese techniques often overlap with Persistence techniques, as OS features that let an adversary persist can execute in an elevated context.  
","the adversary is trying to gain higherlevel permissions

privilege escalation consists of techniques that adversaries use to gain higherlevel permissions on a system or network adversaries can often enter and explore a network with unprivileged access but require elevated permissions to follow through on their objectives common approaches are to take advantage of system weaknesses misconfigurations and vulnerabilities examples of elevated access include 

 systemroot level
 local administrator
 user account with adminlike access 
 user accounts with access to specific system or perform specific function

these techniques often overlap with persistence techniques as os features that let an adversary persist can execute in an elevated context  
the adversary is trying to gain higherlevel permissionsprivilege escalation consists of techniques that adversaries use to gain higherlevel permissions on a system or network adversaries can often enter and explore a network with unprivileged access but require elevated permissions to follow through on their objectives common approaches are to take advantage of system weaknesses misconfigurations and vulnerabilities examples of elevated access include systemroot levellocal administratoruser account with adminlike access user accounts with access to specific system or perform specific functionthese techniques often overlap with persistence techniques as os features that let an adversary persist can execute in an elevated context  
"
12,"What is the description of tactic, Reconnaissance according to Mitre Attack framework?","The adversary is trying to gather information they can use to plan future operations.

Reconnaissance consists of techniques that involve adversaries actively or passively gathering information that can be used to support targeting. Such information may include details of the victim organization, infrastructure, or staff/personnel. This information can be leveraged by the adversary to aid in other phases of the adversary lifecycle, such as using gathered information to plan and execute Initial Access, to scope and prioritize post-compromise objectives, or to drive and lead further Reconnaissance efforts.
The adversary is trying to gather information they can use to plan future operations.Reconnaissance consists of techniques that involve adversaries actively or passively gathering information that can be used to support targeting. Such information may include details of the victim organization, infrastructure, or staff/personnel. This information can be leveraged by the adversary to aid in other phases of the adversary lifecycle, such as using gathered information to plan and execute Initial Access, to scope and prioritize post-compromise objectives, or to drive and lead further Reconnaissance efforts.
","the adversary is trying to gather information they can use to plan future operations

reconnaissance consists of techniques that involve adversaries actively or passively gathering information that can be used to support targeting such information may include details of the victim organization infrastructure or staffpersonnel this information can be leveraged by the adversary to aid in other phases of the adversary lifecycle such as using gathered information to plan and execute initial access to scope and prioritize postcompromise objectives or to drive and lead further reconnaissance efforts
the adversary is trying to gather information they can use to plan future operationsreconnaissance consists of techniques that involve adversaries actively or passively gathering information that can be used to support targeting such information may include details of the victim organization infrastructure or staffpersonnel this information can be leveraged by the adversary to aid in other phases of the adversary lifecycle such as using gathered information to plan and execute initial access to scope and prioritize postcompromise objectives or to drive and lead further reconnaissance efforts
"
13,"What is the description of tactic, Resource Development according to Mitre Attack framework?","The adversary is trying to establish resources they can use to support operations.

Resource Development consists of techniques that involve adversaries creating, purchasing, or compromising/stealing resources that can be used to support targeting. Such resources include infrastructure, accounts, or capabilities. These resources can be leveraged by the adversary to aid in other phases of the adversary lifecycle, such as using purchased domains to support Command and Control, email accounts for phishing as a part of Initial Access, or stealing code signing certificates to help with Defense Evasion.
The adversary is trying to establish resources they can use to support operations.Resource Development consists of techniques that involve adversaries creating, purchasing, or compromising/stealing resources that can be used to support targeting. Such resources include infrastructure, accounts, or capabilities. These resources can be leveraged by the adversary to aid in other phases of the adversary lifecycle, such as using purchased domains to support Command and Control, email accounts for phishing as a part of Initial Access, or stealing code signing certificates to help with Defense Evasion.
","the adversary is trying to establish resources they can use to support operations

resource development consists of techniques that involve adversaries creating purchasing or compromisingstealing resources that can be used to support targeting such resources include infrastructure accounts or capabilities these resources can be leveraged by the adversary to aid in other phases of the adversary lifecycle such as using purchased domains to support command and control email accounts for phishing as a part of initial access or stealing code signing certificates to help with defense evasion
the adversary is trying to establish resources they can use to support operationsresource development consists of techniques that involve adversaries creating purchasing or compromisingstealing resources that can be used to support targeting such resources include infrastructure accounts or capabilities these resources can be leveraged by the adversary to aid in other phases of the adversary lifecycle such as using purchased domains to support command and control email accounts for phishing as a part of initial access or stealing code signing certificates to help with defense evasion
"
14,"What is the description of technique, Abuse Elevation Control Mechanism according to Mitre Attack framework?",Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions. Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine. Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk.(Citation: TechNet How UAC Works)(Citation: sudo man page 2018) An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.(Citation: OSX Keydnap malware)(Citation: Fortinet Fareit),adversaries may circumvent mechanisms designed to control elevate privileges to gain higherlevel permissions most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine authorization has to be granted to specific users in order to perform tasks that can be considered of higher riskcitation technet how uac workscitation sudo man page  an adversary can perform several methods to take advantage of builtin control mechanisms in order to escalate privileges on a systemcitation osx keydnap malwarecitation fortinet fareit
15,"Which platforms does technique, Abuse Elevation Control Mechanism primarily target according to Mitre Attack framework?","The technique Abuse Elevation Control Mechanism targets or exploits these platforms Azure AD, Google Workspace, IaaS, Linux, Office 365, Windows, macOS",the technique abuse elevation control mechanism targets or exploits these platforms azure ad google workspace iaas linux office  windows macos
16,"How to detect or prevent technique, Abuse Elevation Control Mechanism from being exploited?","Monitor the file system for files that have the setuid or setgid bits set. Also look for any process API calls for behavior that may be indicative of [Process Injection](https://attack.mitre.org/techniques/T1055) and unusual loaded DLLs through [DLL Search Order Hijacking](https://attack.mitre.org/techniques/T1574/001), which indicate attempts to gain access to higher privileged processes. On Linux, auditd can alert every time a user's actual ID and effective ID are different (this is what happens when you sudo).

Consider monitoring for <code>/usr/libexec/security_authtrampoline</code> executions which may indicate that AuthorizationExecuteWithPrivileges is being executed. MacOS system logs may also indicate when AuthorizationExecuteWithPrivileges is being called. Monitoring OS API callbacks for the execution can also be a way to detect this behavior but requires specialized security tooling.

On Linux, auditd can alert every time a user's actual ID and effective ID are different (this is what happens when you sudo). This technique is abusing normal functionality in macOS and Linux systems, but sudo has the ability to log all input and output based on the <code>LOG_INPUT</code> and <code>LOG_OUTPUT</code> directives in the <code>/etc/sudoers</code> file.

There are many ways to perform UAC bypasses when a user is in the local administrator group on a system, so it may be difficult to target detection on all variations. Efforts should likely be placed on mitigation and collecting enough information on process launches and actions that could be performed before and after a UAC bypass is performed. Some UAC bypass methods rely on modifying specific, user-accessible Registry settings. Analysts should monitor Registry settings for unauthorized changes.","monitor the file system for files that have the setuid or setgid bits set also look for any process api calls for behavior that may be indicative of process injectionhttpsattackmitreorgtechniquest and unusual loaded dlls through dll search order hijackinghttpsattackmitreorgtechniquest which indicate attempts to gain access to higher privileged processes on linux auditd can alert every time a users actual id and effective id are different this is what happens when you sudo

consider monitoring for codeusrlibexecsecurityauthtrampolinecode executions which may indicate that authorizationexecutewithprivileges is being executed macos system logs may also indicate when authorizationexecutewithprivileges is being called monitoring os api callbacks for the execution can also be a way to detect this behavior but requires specialized security tooling

on linux auditd can alert every time a users actual id and effective id are different this is what happens when you sudo this technique is abusing normal functionality in macos and linux systems but sudo has the ability to log all input and output based on the codeloginputcode and codelogoutputcode directives in the codeetcsudoerscode file

there are many ways to perform uac bypasses when a user is in the local administrator group on a system so it may be difficult to target detection on all variations efforts should likely be placed on mitigation and collecting enough information on process launches and actions that could be performed before and after a uac bypass is performed some uac bypass methods rely on modifying specific useraccessible registry settings analysts should monitor registry settings for unauthorized changes"
17,"What is the technique id for technique, Abuse Elevation Control Mechanism according to mitre attack framework?",The technique id of the technique Abuse Elevation Control Mechanism is T1548,the technique id of the technique abuse elevation control mechanism is t
18,"What are the tactics does this technique, Abuse Elevation Control Mechanism belongs to?","The technique Abuse Elevation Control Mechanism belongs to these tactics Defense Evasion, Privilege Escalation",the technique abuse elevation control mechanism belongs to these tactics defense evasion privilege escalation
19,"What is the description of technique, Abuse Elevation Control Mechanism: Bypass User Account Control according to Mitre Attack framework?","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.(Citation: TechNet How UAC Works)

If the UAC protection level of a computer is set to anything but the highest level, certain Windows programs can elevate privileges or execute some elevated [Component Object Model](https://attack.mitre.org/techniques/T1559/001) objects without prompting the user through the UAC notification box.(Citation: TechNet Inside UAC)(Citation: MSDN COM Elevation) An example of this is use of [Rundll32](https://attack.mitre.org/techniques/T1218/011) to load a specifically crafted DLL which loads an auto-elevated [Component Object Model](https://attack.mitre.org/techniques/T1559/001) object and performs a file operation in a protected directory which would typically require elevated access. Malicious software may also be injected into a trusted process to gain elevated privileges without prompting a user.(Citation: Davidson Windows)

Many methods have been discovered to bypass UAC. The Github readme page for UACME contains an extensive list of methods(Citation: Github UACMe) that have been discovered and implemented, but may not be a comprehensive list of bypasses. Additional bypass methods are regularly discovered and some used in the wild, such as:

* <code>eventvwr.exe</code> can auto-elevate and execute a specified binary or script.(Citation: enigma0x3 Fileless UAC Bypass)(Citation: Fortinet Fareit)

Another bypass is possible through some lateral movement techniques if credentials for an account with administrator privileges are known, since UAC is a single system security mechanism, and the privilege or integrity of a process running on one system will be unknown on remote systems and default to high integrity.(Citation: SANS UAC Bypass)","adversaries may bypass uac mechanisms to elevate process privileges on system windows user account control uac allows a program to elevate its privileges tracked as integrity levels ranging from low to high to perform a task under administratorlevel permissions possibly by prompting the user for confirmation the impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the actioncitation technet how uac works

if the uac protection level of a computer is set to anything but the highest level certain windows programs can elevate privileges or execute some elevated component object modelhttpsattackmitreorgtechniquest objects without prompting the user through the uac notification boxcitation technet inside uaccitation msdn com elevation an example of this is use of rundllhttpsattackmitreorgtechniquest to load a specifically crafted dll which loads an autoelevated component object modelhttpsattackmitreorgtechniquest object and performs a file operation in a protected directory which would typically require elevated access malicious software may also be injected into a trusted process to gain elevated privileges without prompting a usercitation davidson windows

many methods have been discovered to bypass uac the github readme page for uacme contains an extensive list of methodscitation github uacme that have been discovered and implemented but may not be a comprehensive list of bypasses additional bypass methods are regularly discovered and some used in the wild such as

 codeeventvwrexecode can autoelevate and execute a specified binary or scriptcitation enigmax fileless uac bypasscitation fortinet fareit

another bypass is possible through some lateral movement techniques if credentials for an account with administrator privileges are known since uac is a single system security mechanism and the privilege or integrity of a process running on one system will be unknown on remote systems and default to high integritycitation sans uac bypass"
20,"Which platforms does technique, Abuse Elevation Control Mechanism: Bypass User Account Control primarily target according to Mitre Attack framework?",The technique Abuse Elevation Control Mechanism: Bypass User Account Control targets or exploits these platforms Windows,the technique abuse elevation control mechanism bypass user account control targets or exploits these platforms windows
21,"How to detect or prevent technique, Abuse Elevation Control Mechanism: Bypass User Account Control from being exploited?","There are many ways to perform UAC bypasses when a user is in the local administrator group on a system, so it may be difficult to target detection on all variations. Efforts should likely be placed on mitigation and collecting enough information on process launches and actions that could be performed before and after a UAC bypass is performed. Monitor process API calls for behavior that may be indicative of [Process Injection](https://attack.mitre.org/techniques/T1055) and unusual loaded DLLs through [DLL Search Order Hijacking](https://attack.mitre.org/techniques/T1574/001), which indicate attempts to gain access to higher privileged processes.

Some UAC bypass methods rely on modifying specific, user-accessible Registry settings. For example:

* The <code>eventvwr.exe</code> bypass uses the <code>[HKEY_CURRENT_USER]\Software\Classes\mscfile\shell\open\command</code> Registry key.(Citation: enigma0x3 Fileless UAC Bypass)

* The <code>sdclt.exe</code> bypass uses the <code>[HKEY_CURRENT_USER]\Software\Microsoft\Windows\CurrentVersion\App Paths\control.exe</code> and <code>[HKEY_CURRENT_USER]\Software\Classes\exefile\shell\runas\command\isolatedCommand</code> Registry keys.(Citation: enigma0x3 sdclt app paths)(Citation: enigma0x3 sdclt bypass)

Analysts should monitor these Registry settings for unauthorized changes.","there are many ways to perform uac bypasses when a user is in the local administrator group on a system so it may be difficult to target detection on all variations efforts should likely be placed on mitigation and collecting enough information on process launches and actions that could be performed before and after a uac bypass is performed monitor process api calls for behavior that may be indicative of process injectionhttpsattackmitreorgtechniquest and unusual loaded dlls through dll search order hijackinghttpsattackmitreorgtechniquest which indicate attempts to gain access to higher privileged processes

some uac bypass methods rely on modifying specific useraccessible registry settings for example

 the codeeventvwrexecode bypass uses the codehkeycurrentusersoftwareclassesmscfileshellopencommandcode registry keycitation enigmax fileless uac bypass

 the codesdcltexecode bypass uses the codehkeycurrentusersoftwaremicrosoftwindowscurrentversionapp pathscontrolexecode and codehkeycurrentusersoftwareclassesexefileshellrunascommandisolatedcommandcode registry keyscitation enigmax sdclt app pathscitation enigmax sdclt bypass

analysts should monitor these registry settings for unauthorized changes"
22,"What is the technique id for technique, Abuse Elevation Control Mechanism: Bypass User Account Control according to mitre attack framework?",The technique id of the technique Abuse Elevation Control Mechanism: Bypass User Account Control is T1548.002,the technique id of the technique abuse elevation control mechanism bypass user account control is t
23,"What are the tactics does this technique, Abuse Elevation Control Mechanism: Bypass User Account Control belongs to?","The technique Abuse Elevation Control Mechanism: Bypass User Account Control belongs to these tactics Defense Evasion, Privilege Escalation",the technique abuse elevation control mechanism bypass user account control belongs to these tactics defense evasion privilege escalation
